tNumRatings,tFname,contentType,institution_name,tSid,tDept,rating_class,tLname,tid,categoryType,tMiddlename,overall_rating
0,Danielle,TEACHER,University of California Berkeley,1072,Chemical Engineering,zero,Tullman-Ercek,1877240,PROFESSOR,,N/A
1,Justin,TEACHER,University of California Berkeley,1072,Business Administration,good,Tumlinson,1591761,PROFESSOR,,4.5
8,Michael,TEACHER,University of California Berkeley,1072,Ethnic Studies,good,Tuncap,719693,PROFESSOR,,4.8
3,Sirpa,TEACHER,University of California Berkeley,1072,Scandinavian,good,Tuomainen,649546,PROFESSOR,,4.3
16,W. B.,TEACHER,University of California Berkeley,1072,Mass Communications,good,Turner,439005,PROFESSOR,,3.5
19,James,TEACHER,University of California Berkeley,1072,English,average,Turner,617085,PROFESSOR,,2.5
1,William,TEACHER,University of California Berkeley,1072,Mass Communications,good,Turner,1402180,PROFESSOR,,5.0
23,Doug,TEACHER,University of California Berkeley,1072,Computer Science,good,Tygar,58858,PROFESSOR,,3.8
3,Laura,TEACHER,University of California Berkeley,1072,Business Administration,average,Tyson,1214818,PROFESSOR,,3.3
1,Fithawee,TEACHER,University of California Berkeley,1072,Sociology,good,Tzeggai,2168808,PROFESSOR,,4.0
6,Yoko,TEACHER,University of California Berkeley,1072,Japanese,good,Uda,899204,PROFESSOR,,4.8
22,Kent,TEACHER,University of California Berkeley,1072,Engineering,average,Udell,211947,PROFESSOR,,3.4
18,Suneel,TEACHER,University of California Berkeley,1072,Business Administration,good,Udpa,896022,PROFESSOR,,4.8
0,Ken,TEACHER,University of California Berkeley,1072,Music,zero,Ueno,1955970,PROFESSOR,,N/A
8,Roy,TEACHER,University of California Berkeley,1072,Public Policy,poor,Ulrich,1727975,PROFESSOR,,1.7
15,Khatharya,TEACHER,University of California Berkeley,1072,Ethnic Studies,average,Um,218761,PROFESSOR,,3.1
3,Raymond,TEACHER,University of California Berkeley,1072,Women's Studies,good,Umali,965123,PROFESSOR,,5.0
2,Elcin,TEACHER,University of California Berkeley,1072,MolecularCellular Biology,good,Unal,2233632,PROFESSOR,,5.0
57,Justin,TEACHER,University of California Berkeley,1072,Art History,good,Underhill,763525,PROFESSOR,,4.8
3,Julie,TEACHER,University of California Berkeley,1072,East Asian Studies,good,Underhill,1909915,PROFESSOR,T,3.7
0,Paula,TEACHER,University of California Berkeley,1072,Sociology,zero,Uniacke,2224471,PROFESSOR,,N/A
2,Ubhi,TEACHER,University of California Berkeley,1072,Languages,good,Upkar,775121,PROFESSOR,,5.0
11,Hiromi,TEACHER,University of California Berkeley,1072,Japanese,good,Urayama,558890,PROFESSOR,,5.0
3,Mike,TEACHER,University of California Berkeley,1072,Economics,good,Urbancic,1453421,PROFESSOR,,4.0
137,Fyodor,TEACHER,University of California Berkeley,1072,Biology,average,Urnov,538830,PROFESSOR,,2.9
5,Justin,TEACHER,University of California Berkeley,1072,Film,poor,Vaccaro,1846173,PROFESSOR,,2.0
24,Stephen,TEACHER,University of California Berkeley,1072,Sociology,average,Vaisey,1373510,PROFESSOR,,2.7
2,Johnathan,TEACHER,University of California Berkeley,1072,Comparative Literature,good,Vaknin,1890377,PROFESSOR,,3.8
